output_id,QUANTITY,azot_sec,lod,lla_tel,lla_sec,xa_dry,xa_tel,PH,absorbance,ratio_xa_lla(sec),adn_weighted,lod_weighted,PH_weighted,coag_dry_weighted,YIELD_VALUE
122812P10449,232.1,2.052578362,2.6,183.0,190.721649485,196.098562628,196.0,6.9,0.033,1.005154639,1.590833,1.9985176666666666,6.918764633333334,180.0293812824368,1.092184562
122813P10449,253.55,2.106415479,2.6,187.0,188.391038697,196.098562628,191.0,6.6,0.0562,1.011111111,1.057432,3.132994533333333,6.959613,168.95309758134715,1.065421023
122825P10449,265.1,2.1,3.2,183.0,190.721649485,196.098562628,196.0,6.9,0.033,1.005154639,0.9718559999999999,2.5472556666666666,6.912523533333333,177.36606279585862,1.094053611
121843P10449,223.9,2.13190184,2.7,192.0,183.01314459,190.816326531,194.0,6.6,0.061,1.066298343,0.7423069999999999,2.264157,6.9352051999999995,178.3351007505731,1.082374797
121823P10450,227.2,2.13190184,2.3,183.0,186.544342508,196.098562628,183.0,6.72,0.0558,1.0,1.1676316666666666,2.5796133333333335,6.939432933333333,175.20395563319593,1.112719412
122823P10449,247.45,2.052578362,2.5,187.0,184.917355372,192.229038855,192.0,6.87,0.06892,1.066298343,0.8662866666666666,2.2280213333333334,6.9435246,174.54767665950294,1.033558065
122824P10449,227.76,2.052578362,2.5,187.0,184.917355372,192.229038855,192.0,6.87,0.061,1.066298343,0.9659436666666666,2.574546333333333,6.875579466666667,171.11133150178435,1.101763652
121839P10449,277.4,2.124352332,2.9,187.0,186.544342508,184.882533197,189.0,6.87,0.0558,1.010362694,0.7111313333333333,2.452392,6.894219333333334,179.20664342707875,1.051634223
121833P10449,235.2,2.113821138,2.9,183.0,188.139059305,195.14661274,193.0,6.6,0.047,1.066298343,1.3554306666666667,2.1339946666666667,6.870458066666667,175.1334899957587,1.099093903
121834P10449,236.6,2.052578362,2.2,177.0,183.01314459,195.14661274,184.0,6.87,0.055,1.06010929,1.8192240000000002,2.6224036666666666,6.8758441333333336,179.72248754955663,1.074729503
122799P10450,242.35,2.052578362,2.5,187.0,184.917355372,192.229038855,192.0,6.87,0.061,1.066298343,0.8862883333333333,2.372961666666667,6.8915489333333335,170.36687297285414,1.158146767
122798P10450,233.18,2.13190184,2.3,183.0,186.544342508,184.882533197,183.0,6.59,0.0558,1.005154639,1.8469616666666666,2.7751426,6.9504172,169.19123010711732,1.11808409
121834P10444,180.2,2.052578362,1.1,187.0,184.917355372,192.229038855,192.0,6.87,0.061,1.005102041,0.88696,2.04784,6.7869600000000005,172.11847447513117,1.505622245
122822P10449,244.65,2.052578362,2.5,187.0,189.847715736,195.272353546,187.0,6.72,0.06066,1.066298343,0.7250673333333333,2.8018336666666666,7.015532133333333,177.78626191079942,1.063832479
121843P10444,183.7,2.113821138,1.7,188.0,192.893401015,196.098562628,192.0,6.7,0.0562,1.028248588,1.1,2.4712,7.0,175.35768833885118,1.40966847
